Summing 2^30 values
Threads	Race	Semaphore	Mutex	Adjacent memory acc	Spaced memory acc	Register acc	
1	2.46	22.56	23.36	2.47	2.53	0.82	
2	1.94	230.76	56.97	2.07	1.27	0.41	
3	1.40	276.02	109.73	1.50	0.82	0.27	
4	1.31	401.44	155.40	1.19	0.62	0.21	
5	1.05	444.00	175.27	1.00	0.53	0.17	
6	1.02	458.80	181.17	0.83	0.43	0.15	
7	0.96	428.21	174.41	0.63	0.37	0.13	
8	0.90	375.56	156.60	0.63	0.33	0.12	
9	0.92	414.38	146.46	0.56	0.30	0.14	
10	0.91	301.51	139.39	0.74	0.28	0.13	
11	0.91	491.76	139.00	0.71	0.25	0.12	
12	0.89	386.66	135.95	0.66	0.24	0.13	
13	0.86	551.62	135.16	0.62	0.21	0.12	
14	0.86	386.97	104.93	0.59	0.20	0.12	
15	0.88	527.00	130.60	0.52	0.19	0.11	
16	0.86	599.33	119.94	0.49	0.29	0.15	
