Summing 2^30 values
Threads	S1	S2	S4	S8	S16	
1	2.47	2.47	2.46	2.46	2.47	
2	2.06	1.51	1.23	1.23	1.23	
3	1.56	1.10	1.33	0.83	0.83	
4	1.23	0.98	1.01	0.62	0.62	
5	0.98	0.86	0.85	0.52	0.51	
6	0.81	0.79	0.71	0.43	0.43	
7	0.70	0.70	0.62	0.37	0.37	
8	0.60	0.58	0.56	0.33	0.32	
9	0.56	0.80	0.48	0.30	0.30	
10	0.72	0.68	0.44	0.27	0.27	
11	0.67	0.65	0.40	0.25	0.25	
12	0.67	0.54	0.39	0.24	0.25	
13	0.65	0.41	0.34	0.21	0.21	
14	0.61	0.52	0.33	0.20	0.20	
15	0.59	0.33	0.44	0.19	0.18	
16	0.51	0.34	0.29	0.19	0.22	
